ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,適正CPI_EC,適正CPI_CL
地力B,地力B,16,BITTER CHOCOLATE STRIKER,165,1990,同時押し・トリル・中盤発狂・ラス殺し,CHORD,1474.92,1535.16
地力B,地力B+,21,BLUE DRAGON(雷龍RemixIIDX),188,1727,同時押し・多重トリル・皿複合,CHORD,1487.31,1563.28
地力B,地力B,22,Broken Sword,160,1887,乱打・階段・二重階段・終盤難,NOTES,1503.25,1542.25
地力B,地力B+,28,Burning Flame(L),165,1938,連皿・トリル,NOTES,1451.55,1544.13
地力B,地力C,14,Candy Galy,184,1798,同時押し・階段・ラス殺し,NOTES,1465.26,1516.50
地力B,地力B,22,cinder,216,1601,CN・BSS,PEAK,1432.41,1528.59
地力B,地力B,21,Close the World feat.a☆ru,188,1739,階段・二重階段,NOTES,1420.97,1501.44
地力B,地力B,23,CODE:1 ［revision1.0.1］,145,1590,繰り返し乱打,NOTES,1461.66,1536.46
地力B,地力B,16,Colorful Cookie,180,1773,繰り返し乱打・軸・同時押し・皿・中盤発狂,PEAK,1465.82,1530.56
地力B,地力B,18,Dances with Snow Fairies,154,1623,乱打・縦連・軸・ラス殺し,PEAK,1487.54,1552.64
地力B,地力C,32,destination,175,1698,CN・トリル,NOTES,,
地力B,地力B+,20,Devilz Staircase,185,1685,壁・同時押し・終盤高密度乱打,PEAK,1471.01,1556.64
地力B,地力B+,25,DropZ-Line-,50-400(200),1648,乱打・軸・ソフラン,SOF-LAN,1470.89,1582.40
地力B,地力B+,28,DUAL STRIKER,185,1960,CN,NOTES,1463.83,1539.91
地力B,地力C,22,entelecheia,185,1657,CN・軸・終盤難,NOTES,1457.68,1517.29
地力B,地力B,29,Flying Castle,174,1877,MSS・CN,NOTES,1476.37,1543.32
地力B,地力B,26,GENE,163,2183,乱打・皿複合,NOTES,1463.26,1516.59
地力B,地力B+,22,GUILTY(L),148,1525,CN・高密度,NOTES,1492.78,1556.59
地力B,地力C,26,HARD BRAIN,155,1914,CN,NOTES,1500.57,1532.85
地力B,地力B,30,I,225,1901,CN・BSS,NOTES,1471.40,1542.35
地力B,地力B+,25,Illusionary Waterlily,180,1803,乱打・皿絡み・CN,NOTES,1503.64,1567.19
地力B,地力B+,21,INSOMNIA,195,1661,皿・螺旋階段・二重階段・全押し,CHORD,1493.47,1583.57
地力B,地力B,26,KILL EACH OTHER,162,1945,乱打・終盤難,NOTES,1503.08,1552.20
地力B,地力B+,27,LASER CRUSTER (IGNITE REMIX),174,1824,CN・BSS・連皿,NOTES,1531.41,1593.24
地力B,地力B+,32,Lightspeed,200,1606,CN・BSS,NOTES,,
地力B,地力B,12,Little Little Princess(L),180-212(212),1946,同時押し・局所難,CHORD,1492.69,1552.06
地力B,地力C,23,M4K3 1T B0UNC3,150,1546,CN・BSS,CHORD,1405.72,1477.94
地力B,個人差B+,7,MAX 300,12-300(300),1429,デニム,PEAK,1533.43,1611.74
地力B,地力B,30,MAX 360,15-360(360),1610,CN・同時押し,PEAK,1448.35,1550.23
地力B,地力B+,31,MAXIMUM CHEAT GIRL,210,1842,乱打・階段,NOTES,1502.39,1574.17
地力B,地力B+,22,Monopole.,201,1729,CN・BSS・縦連・二重トリル,NOTES,1480.58,1571.65
地力B,地力B,20,neu,199,1999,同時押し・階段・終盤難,PEAK,1520.02,1573.00
地力B,地力B+,25,NITROUS CANNON,169,1875,乱打・皿絡み・縦連打・連皿,NOTES,1478.98,1567.70
地力B,地力B,29,One for All,195,1632,BSS・連皿,CHORD,1461.73,1556.18
地力B,地力B,24,OTENAMI Hurricane,215,1643,皿複合,NOTES,1461.12,1545.15
地力B,地力B,20,Proof of the existence,170,1675,ズレ・トリル・ラス殺し,PEAK,1466.45,1533.78
地力B,地力B,19,QUANTUM TELEPORTATION(L),152,1845,乱打,PEAK,1518.42,1578.05
地力B,地力B,19,quaver♪,182-186(182),1745,トリル・乱打・微ソフラン・ラス殺し,NOTES,1523.52,1567.99
地力B,個人差B+,21,ra'am,111-222(111),1461,CN・ソフラン・高速皿複合,PEAK,1493.84,1584.30
地力B,地力B,23,refrain,158,1857,二重階段・ラス殺し,NOTES,1479.07,1534.65
地力B,地力A,18,reunion,184,1677,XX譜面・縦連・局所発狂・トリル・階段・全押し,CHORD,1466.23,1565.02
地力B,地力B,26,ruin of opals,220-390(355),1646,ソフラン・乱打・縦連打・CN・ズレ・ラスト減速,SOF-LAN,1500.81,1558.56
地力B,地力B+,18,Session 9 -Chronicles-,182-189(182),1852,縦連・階段・二重階段・ソフラン,NOTES,1469.02,1552.78
地力B,地力B+,24,Sky High,153,1943,乱打・デニム,NOTES,1505.58,1557.03
地力B,地力B+,25,Slipstream,175,1822,乱打・皿絡み,PEAK,1521.35,1577.56
地力B,地力C,29,Smalt #28598F,151,1725,局所難・二重階段,NOTES,1463.67,1530.36
地力B,地力B,24,Super Rush,190,1791,同時押し,CHORD,1427.56,1498.51
地力B,地力B,27,T-REX vs Velociraptor (In the Far east euphoria),200,1636,CN・二重トリル,NOTES,1445.74,1531.12
地力B,地力B,15,THE DEEP STRIKER(L),173,1778,縦連,CHORD,1461.62,1545.57
地力B,地力B,31,The Last Apocalypse,190,1903,BSS・階段,NOTES,1434.61,1526.97
地力B,地力B+,20,Timepiece phase II,287,1665,軸・縦連,NOTES,1498.88,1570.25
地力B,地力B,29,Triple Cross,196,1667,CN,CHARGE,1441.31,1529.82
地力B,地力B,32,u gotta beat,180,1806,連皿・BSS・二重階段,NOTES,,
地力B,地力B+,15,Ubertreffen(L),174,1655,階段・物量・デニム,NOTES,1490.66,1573.12
地力B,地力B,20,Valanga,186,1647,CN・BSS・二重階段,CHARGE,1426.06,1510.51
地力B,地力B+,31,Vermilion Carol,175,1837,CN・皿同時,NOTES,1484.70,1551.67
地力B,地力B,28,Vitrum,146,1848,CN,NOTES,1500.52,1559.53
地力B,地力B+,23,Welcome(L),170,1701,HCN,CHORD,1484.06,1561.05
地力B,地力B+,23,X,180,1952,デニム,NOTES,1486.94,1564.90
地力B,地力A,26,Xlo,165,1988,乱打・連皿・トリル,NOTES,1495.23,1586.67
地力B,地力B+,25,Xperanza,200,1637,CN,SCRATCH,1356.79,1493.49
地力B,個人差B+,30,24h Endurance Race,184,1743,短CN・トリル,NOTES,1429.81,1546.37
地力B,地力B+,20,ΕΛΠΙΣ(L),175,1852,CN・ズレ,NOTES,1491.39,1550.90
地力B,地力B+,22,少年は空を辿る,140,1729,開幕発狂・縦連打・CN・BSS・軸・終盤発狂,PEAK,1474.77,1553.60
地力B,地力B,25,神謳 -RESONANCE-,180,2047,乱打・二重階段,NOTES,1486.47,1549.35
地力B,地力B,20,たまゆら,180,1407,同時押し・皿複合・終盤難,PEAK,1486.00,1547.22
地力B,地力B+,31,電腦都市,240,1738,同時押し・二重階段,NOTES,1486.81,1571.25
地力B,地力C,24,童話回廊,262,1592,乱打・皿絡み・ラス殺し,NOTES,1430.93,1502.89
地力B,地力B+,21,轟け！恋のビーンボール！！,180,1834,階段・皿複合,NOTES,1453.84,1538.67
地力B,個人差B+,21,廿(L),120-160(120),1731,皿複合,PEAK,1455.77,1562.68
地力B,地力B,30,儚キ戀ノ幻想譚,175,1808,BSS・終盤難,NOTES,1458.24,1521.61
地力B,地力B,16,不沈艦CANDY,188,1682,同時押し・トリル・中盤発狂・ラス殺し,PEAK,1474.55,1534.97
地力B,地力B,24,#MAGiCVLGiRL_TRVP_B3VTZ,100,1753,同時押し・CN・軸・ズレ・ラス殺し,NOTES,1419.74,1492.82
地力B,地力B+,31,未完成ノ蒸氣驅動乙女,170,1538,階段,NOTES,1444.72,1542.06
地力B,地力B+,27,魅惑のYUMMYスイーツ,208,1586,CN,PEAK,1490.04,1575.63
地力B,地力B,20,龍と少女とデコヒーレンス(L),165,1713,CN・乱打・二重階段,NOTES,1487.90,1546.78
地力B,地力B,22,リリーゼと炎龍レーヴァテイン,200,1771,CN・階段・軸,NOTES,1430.13,1520.25
地力B,個人差A+,30,恋愛＝精度×認識力,3-333(177),1756,ソフラン・疑似停止,SOF-LAN,1490.98,1640.43
個人差B,地力B,23,AO-1,195,1443,皿複合,NOTES,1439.44,1524.36
個人差B,個人差C,11,FAKE TIME,200,1231,同時押し・高速トリル・ラス殺し,PEAK,1513.17,1559.38
個人差B,地力A,22,Flashes,180,1691,CN・BSS・皿複合,NOTES,1454.03,1545.73
個人差B,個人差B,22,IMPLANTATION,145,1163,縦連・階段,PEAK,1433.81,1548.31
個人差B,個人差B+,25,Papilio ulysses,180,1498,CN・連皿,CHARGE,1373.03,1516.00
個人差B,個人差A,15,PARANOiA ～HADES～,75-300(300),1395,ソフラン・トリル,SOF-LAN,1556.00,1648.26
個人差B,個人差A,17,Red. by Full Metal Jacket,158,1643,連皿・皿複合,SCRATCH,1378.33,1497.72
個人差B,個人差A+,21,VOX UP,202,1870,皿・軸・トリル・二重トリル・前半難,CHORD,1512.03,1620.93
個人差B,個人差A,18,Watch Out Pt.2,148,1506,連皿・皿複合,SCRATCH,1377.17,1496.93
個人差B,個人差S,16,Y&Co. is dead or alive,145-876(145),1478,ソフラン,SOF-LAN,1544.49,1694.44
個人差B,個人差B,20,アストライアの双皿,173,1632,CN・連続二重縦連,NOTES,1480.06,1563.67
個人差B,地力B+,29,逆月,280,1920,HCN,CHORD,1496.65,1565.85
個人差B,個人差B+,29,雪上断火,105-180(180),1544,連皿・ソフラン,SCRATCH,1355.84,1507.25
個人差B,個人差B+,24,火影,136,1437,連皿,SCRATCH,1296.51,1475.76
個人差B,個人差B,31,摩天楼,172,1309,HCN・HBSS・終盤難,CHARGE,1523.92,1562.70
個人差B,個人差B+,15,ミラージュ・レジデンス(L),144,1676,CN・軸,CHARGE,1497.79,1577.59
地力C,地力B,29,Aftermath,200,1828,HCN・軸,CHARGE,1498.54,1550.56
地力C,地力C,27,AKASHIC BREAK,205,1823,皿絡み,CHORD,1364.46,1486.14
地力C,地力B,30,Always We Trust In You,190,1625,CN・皿複合,NOTES,1382.67,1504.02
地力C,地力B,24,Amazing Mirage(L),153,1684,乱打・皿絡み,CHORD,1421.56,1519.12
地力C,地力C,21,Ancient Scapes,178,1780,乱打・軸・ラス殺し,NOTES,1379.25,1469.43
地力C,地力B+,30,anthracene,168,1744,CN・皿絡み・連打,NOTES,1465.86,1549.23
地力C,地力B,16,Arabian Rave Night(L),180,1888,デニム・同時・階段,NOTES,1404.67,1518.90
地力C,地力B,30,Chaotoxin,180,1705,乱打・連皿,PEAK,1401.54,1501.46
地力C,地力B,22,Cosmic Cat(L),160,1651,CN・同時押し,CHORD,1461.02,1540.51
地力C,地力C,32,COSMIC V3LOCITY,200,1716,CN,NOTES,,
地力C,地力B,21,DARK LEGACY,196,1828,皿絡み・乱打,CHORD,1413.47,1496.88
地力C,地力D,26,dAuntl3ss,166,1775,乱打・ラス殺し,NOTES,1427.04,1498.39
地力C,個人差A,20,DAY DREAM,80-300(80),1075,ソフラン・縦連,SOF-LAN,1481.31,1596.21
地力C,地力C,32,DIVINE JUDGEMENT,190,1416,CN・BSS・二重階段,CHARGE,,
地力C,地力B,17,DOMINION,196,1636,軸・同時押し・中盤発狂,PEAK,1371.31,1487.41
地力C,地力C,26,Dr. Chemical & Killing Machine,165,1700,乱打,NOTES,1472.25,1522.86
地力C,地力B,22,EBONY & IVORY,170,1520,乱打・皿絡み,NOTES,1445.63,1523.30
地力C,地力C,17,Evans,185,1440,皿複合・軸・ラス殺し,NOTES,1414.48,1497.87
地力C,地力C,32,EX-MASSIVE FIGHTER,165,1725,微縦連,CHORD,,
地力C,個人差B,22,FANTASTIC THREE,185,1649,連皿・二重階段,NOTES,1364.00,1491.01
地力C,地力C,27,Friction［!］Function,150,1634,CN・BSS・皿絡み・二重階段,NOTES,1365.90,1469.16
地力C,地力C,24,FUZIN RIZIN,190,1929,皿絡み・乱打,NOTES,1412.31,1497.86
地力C,地力C,31,Ghost Pulse,165,1409,CN・乱打,PEAK,1441.97,1507.22
地力C,地力B+,23,Godspeed,165,1631,HCN・縦連打,NOTES,1407.41,1523.86
地力C,地力C,17,GOLDEN CROSS,150,1765,繰り返し乱打,NOTES,1425.78,1487.07
地力C,地力C,22,Gravigazer,160,1533,BSS,NOTES,1407.83,1487.78
地力C,地力C,32,Here We Go Now,170,1690,CN・BSS・連皿・終盤難,CHORD,,
地力C,地力C,21,Idola,201,1826,デニム,CHORD,1391.95,1471.78
地力C,地力B,28,innocent revolver,310,1990,階段・縦連,NOTES,1429.93,1515.25
地力C,個人差B,22,Invitation from Mr.C,230,1405,CN・BSS,NOTES,1433.92,1543.04
地力C,地力B,23,Konzert V,160,1710,デニム・局所難,PEAK,1401.18,1511.96
地力C,地力C,26,L.F.O,180,1687,軸・ラス殺し,PEAK,1446.44,1518.81
地力C,地力C,21,Last Dance,150,1650,BSS・高速トリル・乱打,PEAK,1455.64,1519.18
地力C,地力C,26,Lethal Weapon,90-180(180),1646,乱打・高速階段・ソフラン,NOTES,1369.45,1478.42
地力C,地力C,29,LIVE DRIVING!! feat. 花たん,190,1947,皿複合,CHORD,1389.42,1489.15
地力C,地力B,26,LOST TECHNOLOGIE,157,1822,乱打・ズレ・CN,NOTES,1475.87,1543.25
地力C,地力B,31,Million Dollar,180,1762,CN・階段,NOTES,1408.19,1502.14
地力C,地力B,22,NEO GENERATOR SEVEN,182,1690,軸・皿複合,CHORD,1402.68,1516.10
地力C,地力C,23,Nightmare before oversleep,190,1500,階段・X譜面,PEAK,1423.06,1491.38
地力C,地力C,19,NNRT,101-202(101),1780,ソフラン・同時押し・乱打,CHORD,1380.40,1467.56
地力C,地力B,29,Push on Beats!～音ゲの国のeX-ストリーマー～,164-172(168),1748,縦連・デニム,NOTES,1371.77,1510.30
地力C,個人差A,12,rage against usual,152,1527,皿複合・中盤発狂・二重階段,PEAK,1460.06,1578.36
地力C,地力D,24,RAIN,159,1657,CN・乱打,NOTES,1429.01,1496.78
地力C,地力D,27,Rave Patroller,175,1705,ラス殺し,PEAK,1444.23,1502.39
地力C,地力C,32,Roar of Chronos,175,1991,CN・BSS,NOTES,,
地力C,地力C,30,RINNE,198,1788,乱打,CHORD,1441.12,1528.34
地力C,地力B,28,rommmo,208,1762,二重トリル・前半難,CHORD,1446.33,1544.44
地力C,地力B,24,SAY BAY,165,1455,CN・BSS・連皿・皿複合・二重階段,SCRATCH,1380.68,1480.60
地力C,地力C,31,Seven Times Four,170,1763,皿絡み,NOTES,,
地力C,地力C,20,Sol Cosine Job 2,190-200(190),1625,乱打・皿複合・ソフラン・BSS,NOTES,1441.80,1532.61
地力C,地力C,28,SOLID STATE SQUAD -RISEN RELIC REMIX-,186,1670,CN,NOTES,1450.56,1526.08
地力C,地力C,22,Sounds Of Summer,175,1513,トリル,CHORD,1417.04,1496.20
地力C,地力D,11,spiral galaxy(L),154,1910,高密度・乱打・トリル・物量・ラス殺し,NOTES,1450.37,1503.68
地力C,地力C,30,Super Freak,200,1754,乱打,NOTES,1347.15,1465.53
地力C,地力C,31,Sword of Vengeance,208,1650,CN・乱打,NOTES,1358.65,1482.80
地力C,地力C,27,TECHNO Style Essentials,154,1453,CN,NOTES,1419.94,1507.93
地力C,地力B,16,THANK YOU FOR PLAYING(L),45-170(170),1534,中盤発狂・乱打,NOTES,1460.38,1552.91
地力C,地力B,26,THE DAY OF JUBILATIONS,181,1757,乱打・CN,NOTES,1433.48,1535.26
地力C,地力C,16,thunder HOUSE NATION Remix(L),128,1954,高密度・同時,CHORD,1428.96,1489.99
地力C,地力C,27,Vinculum stellarum,160,1873,CN・局所発狂,NOTES,1435.59,1510.64
地力C,地力C,28,Viridian,161,1700,乱打,NOTES,1464.12,1525.39
地力C,地力B+,22,We're so Happy (P*Light Remix) IIDX ver.,185,1896,乱打・皿複合,NOTES,1418.84,1511.30
地力C,地力C,19,WONDER WALKER,165,1921,乱打,NOTES,1429.37,1494.33
地力C,地力B,19,yellow head joe(L),187,1596,CN・皿同時,NOTES,1530.75,1578.29
地力C,地力D,27,Ypsilon(L),160,1801,乱打,NOTES,1432.73,1503.48
地力C,地力C,24,イザナミノナゲキ,195,1661,CN・同時押し・階段・ズレ,NOTES,1374.73,1481.33
地力C,地力C,30,Ou Legends,191,1687,CN・BSS,NOTES,1379.88,1484.78
地力C,地力B+,19,子供の落書き帳,280,1395,軸・序盤発狂・トリル,PEAK,1448.30,1547.92
地力C,地力B,21,疾風迅雷,180,1493,乱打・軸・縦連打・終盤難,NOTES,1431.08,1525.73
地力C,地力C,20,シュレーディンガーの猫,187,1717,乱打・階段・皿複合,NOTES,1422.63,1496.93
地力C,地力B,27,深淵に捧ぐレクイエム,175,1537,CN,CHARGE,1459.93,1546.10
地力C,地力C,21,旋律のドグマ～Miserables～,192,2002,乱打,NOTES,1416.25,1491.53
地力C,地力B,22,それは花火のような恋,182,1976,皿複合,NOTES,1404.87,1486.89
地力C,地力C,31,電光,165,1560,CN・BSS・連皿,NOTES,1381.44,1490.26
地力C,地力C,20,トリカゴノ鳳凰,185,1932,CN・微縦連・皿複合,NOTES,1432.73,1505.78
地力C,地力C,22,夏色DIARY - L.E.D.-G STYLE MIX -,190,1590,CN,NOTES,1410.40,1504.92
地力C,地力C,15,華爛漫 -Flowers-(L),160,1597,高密度・同時押し,NOTES,1464.07,1514.70
地力C,地力C,29,禊,160,1631,CN,CHARGE,1361.19,1466.06
地力C,地力C,23,めいさいアイドル☆あいむちゃん♪,160,1717,階段・皿複合,NOTES,1400.58,1482.61
地力C,地力C,26,龍王の霊廟(Mausoleum Of The Primal Dragon)(L),144,2023,CN,CHARGE,1438.80,1510.05
個人差C,個人差C,21,Adularia,180,1449,CN・ラス殺し(二重階段),CHARGE,1382.73,1462.94
個人差C,個人差C,30,B.O.D.Y.,157,1734,MSS,NOTES,1455.42,1523.82
個人差C,個人差A,22,BLUE MIRAGE,170,1606,皿複合,SCRATCH,1469.89,1574.55
個人差C,個人差B,31,GAME ON,105,1386,CN・BSS・連皿,SCRATCH,1317.05,1475.85
個人差C,個人差B+,27,Level 2,150,1488,BSS・連皿,SCRATCH,1381.81,1523.87
個人差C,個人差B+,21,MAD ATTACK(L),140,1396,BSS・MSS・連皿・皿複合・トリル,SCRATCH,,
個人差C,個人差B,18,New Castle Legions,120-180(120),1418,ソフラン・CN,SOF-LAN,1522.12,1590.17
個人差C,個人差B,26,ONIGOROSHI,400,1541,軸・HBSS,NOTES,1437.69,1552.13
個人差C,個人差C,8,PLEASE DON'T GO,135,1251,皿・縦連・局所難・ラス殺し,PEAK,1438.90,1519.58
個人差C,個人差A+,22,Rave*it!! Rave*it!!,282,1656,CN・同時押し特化・多重軸・全押し,CHORD,1424.94,1537.61
個人差C,個人差B,14,Sense 2007,140,1517,縦連・皿複合・局所難・ラス殺し,PEAK,1454.47,1537.71
個人差C,個人差B,24,TOGAKUSHI,152,1343,HCN,CHARGE,1330.01,1449.78
個人差C,地力D,22,ZZ,154,1541,CN・二重階段,NOTES,1400.54,1471.41
個人差C,地力C,28,スーパー戦湯ババンバーン,187,1755,2連皿,NOTES,1439.53,1517.59
個人差C,個人差B,29,ハイテックトキオ(L),165,1657,MSS,NOTES,1411.36,1513.58
個人差C,個人差C,21,海神,159,1629,CN・皿複合,CHARGE,1384.12,1473.25
地力D,地力D,11,AA,154,1834,同時押し・乱打・階段・局所発狂・全体難,NOTES,1365.85,1428.96
地力D,地力C,31,ACT0,185,1534,BSS・軸・トリル,NOTES,1374.07,1493.27
地力D,地力D,18,ALBIDA,185,1530,同時押し・乱打・軸・皿複合,CHORD,1376.36,1466.21
地力D,地力D,22,Beat Radiance(L),192,1809,同時押し,CHORD,1392.76,1463.00
地力D,地力E,28,BIGソムタム,187,1688,CN,CHARGE,1292.73,1397.23
地力D,地力B,31,BLAZING_LAZER,191,1752,BSS・階段・トリル,NOTES,1396.70,1503.71
地力D,地力D,32,Bring The Fire,160,1734,CN,NOTES,,
地力D,地力D,18,Broken,148,1598,乱打・デニム,PEAK,1373.31,1442.07
地力D,地力D,26,Catch Our Fire!,190,1885,乱打・皿絡み,NOTES,1390.07,1482.84
地力D,地力B,31,Dahlia,185,1617,BSS・二重階段,PEAK,1360.58,1489.54
地力D,地力D,27,Double Dribble,210,1683,皿絡み・高速二重トリル,SCRATCH,1311.75,1435.96
地力D,地力D,26,Drastic Dramatic,166,1765,乱打,NOTES,1385.48,1462.31
地力D,地力D,26,DRUNK MONKY,145,1177,軸押し,NOTES,1413.59,1507.30
地力D,地力D,26,EVANESCENT,127-165(161),1845,乱打・CN・ソフラン,NOTES,1399.98,1492.38
地力D,地力C,21,Feel The Beat,175,1830,皿複合,NOTES,1371.07,1456.06
地力D,地力C,29,Fegrix,175,1687,連皿,NOTES,1343.45,1460.71
地力D,地力C,19,fffff,138,1624,二重階段・高速トリル,NOTES,1390.61,1484.98
地力D,地力D,14,FIRE FIRE,150,1405,皿・二重階段・ラス殺し,PEAK,1371.47,1444.59
地力D,地力D,31,frequent,176,1900,乱打,NOTES,1383.24,1474.79
地力D,地力C,20,GAIA,180,1676,乱打・螺旋階段,NOTES,1386.49,1470.17
地力D,地力S+,16,Go Beyond!!,200,1166,中盤発狂・終盤易化,PEAK,1375.36,1526.11
地力D,地力D,23,Highcharge Divolt,200,1421,HCN,NOTES,1294.62,1416.40
地力D,地力C,16,Kung-fu Empire(L),177,1999,高密度・階段,CHORD,1392.88,1481.83
地力D,地力D,27,Matt Silver,146,1707,皿絡み・縦連・繰り返し乱打,NOTES,1393.55,1466.75
地力D,地力C,27,Megalara Garuda,180,1543,CN,PEAK,1357.38,1469.41
地力D,地力C,30,Meissa,124-174(174),1435,CN・乱打,PEAK,1381.76,1492.21
地力D,地力D,30,No Border,150,1895,乱打・後半難,NOTES,1418.88,1487.36
地力D,地力C,30,ONE AND ONLY,174,1639,連皿・デニム・X譜面,PEAK,1323.20,1440.64
地力D,地力D,15,oratio,162,1493,裏軸押し・終盤難,PEAK,1388.89,1473.39
地力D,地力C,31,Out of Control,185,1598,CN・トリル・微縦連,NOTES,1373.56,1497.61
地力D,地力D,28,Parvati,205,1467,トリル・階段・終盤難,PEAK,1340.95,1450.80
地力D,地力D,25,Persephone,155,1539,連皿・二重階段,NOTES,1381.97,1467.01
地力D,個人差C,23,POSSESSION,23-185(185),1521,CN・ソフラン・同時押し,SOF-LAN,1363.31,1454.86
地力D,地力C,21,PUNISHER,180,1812,乱打・デニム,NOTES,1387.23,1477.12
地力D,地力D,25,Rampage,195,1831,同時押し・BSS・乱打・ラス殺し,CHORD,1356.25,1426.86
地力D,地力D,24,Rave Cannon,160,1700,乱打・CN・BSS,NOTES,1327.35,1424.65
地力D,地力C,22,Say YEEEAHH,135,1677,同時押し,CHORD,1380.50,1475.75
地力D,個人差C,12,Scripted Connection⇒ A mix,151,1575,乱打・対称・トリル・縦連,NOTES,1390.27,1487.75
地力D,地力D,12,Scripted Connection⇒ H mix(L),151,1466,縦連・同時・階段・ラス殺し・乱打・皿絡み,PEAK,,
地力D,地力C,29,Silver Bullet,152-172(168),1662,ソフラン,SOF-LAN,1388.21,1492.45
地力D,地力D,17,SOLID STATE SQUAD,155,1819,皿・トリル・軸・中盤発狂,PEAK,1360.76,1450.60
地力D,地力D,22,SpaceLand☆TOYBOX,172,1501,乱打・階段,NOTES,1364.63,1450.05
地力D,地力D,31,Stereo Beasts,160,1881,乱打,NOTES,1439.75,1500.21
地力D,地力D,22,The Least 100sec,200-264(264),1505,二重階段・トリル・ソフラン,NOTES,1359.44,1469.25
地力D,地力D,19,The Sampling Paradise,150,1545,乱打・連皿・CN・BSS,NOTES,1327.16,1404.19
地力D,地力D,19,Thunderbolt,188,1911,乱打,CHORD,1373.30,1453.42
地力D,地力D,22,TIEFSEE,165,1752,乱打,NOTES,1372.24,1447.81
地力D,地力B+,26,Trill auf G,188,1670,乱打・中盤難,NOTES,1410.76,1533.18
地力D,地力D,20,True Blue,164,1898,乱打・ラス殺し,NOTES,1415.27,1472.13
地力D,地力C,24,Umbral(L),138,1566,HCN,CHARGE,1415.56,1500.74
地力D,地力D,5,V,150,1519,デニム・トリル,PEAK,1369.63,1453.52
地力D,地力C,23,紫陽花 -AZISAI-,155,1490,CN・二重階段・終盤難,PEAK,1248.09,1368.36
地力D,地力C,29,天邪鬼,155,1693,BSS・壁,NOTES,1409.79,1481.66
地力D,個人差C,21,ATHER(L),24-192(192),1640,ソフラン・疑似停止・同時押し,CHORD,1084.85,1468.14
地力D,地力E,13,カゴノトリ～弐式～,140,1325,同時押し・乱打・終盤難,PEAK,1370.74,1429.13
地力D,地力D,13,華蝶風雪(L),199,2014,同時押し・軸,CHORD,1412.17,1485.06
地力D,個人差C,30,神のシナリオ,140,1652,HCN・HBSS,CHARGE,1256.27,1411.46
地力D,地力C,30,#CMFLG,155,1748,CN・BSS・乱打,NOTES,1347.24,1446.36
地力D,地力D,24,九尾狐夜行,145,1521,高速トリル,CHORD,1323.88,1443.02
地力D,地力C,20,狂イ咲ケ焔ノ華,206,1860,階段・乱打・終盤発狂,PEAK,1373.08,1475.36
地力D,地力C,19,恋する☆宇宙戦争っ！！,200,1835,階段,NOTES,1359.32,1447.87
地力D,地力C,26,最小三倍完全数,220,1314,高速・XX譜面,NOTES,1387.73,1510.62
地力D,地力C,24,〆,160,1877,BSS・乱打・連皿・皿複合,CHORD,1312.72,1415.87
地力D,地力B,19,聖人の塔,97-194(97),1567,階段・トリル・ソフラン,SOF-LAN,1401.34,1520.98
地力D,地力C,20,即席！脳直★ミュージックシステム,197,1838,皿複合・乱打,NOTES,1377.54,1469.33
地力D,地力C,14,電人、暁に斃れる。,165,1725,乱打・縦連・局所難,NOTES,1375.91,1469.82
地力D,地力D,24,刃図羅,165,1746,乱打・皿絡み,NOTES,1347.76,1433.23
地力D,地力C,22,表裏一体！？怪盗いいんちょの悩み,165,1815,二重階段・皿複合,NOTES,1339.44,1423.99
個人差D,個人差C,24,Caterpillar,170,1561,連皿・縦連,SCRATCH,1330.04,1472.06
個人差D,個人差C,30,dica dica,175,1638,トリル・連皿,NOTES,1297.98,1433.19
個人差D,個人差D,17,eRAseRmOToRpHAntOM,135-270(135),1686,軸・ソフラン・皿・トリル,CHORD,1397.28,1500.95
個人差D,個人差S,14,Fascination MAXX,100-400(100),1313,高速・ソフラン・縦連・同時押し,SOF-LAN,1468.63,1623.95
個人差D,個人差D,28,Fire Beat,157-300(157),1392,ソフラン,NOTES,1329.04,1484.35
個人差D,個人差E,17,mosaic,188,1509,同時押し特化,CHORD,1309.69,1391.19
個人差D,個人差D,8,桜,13-320(300),1123,序盤縦連発狂・ソフラン・同時押し,SOF-LAN,1369.44,1502.19
個人差D,個人差B,28,魔法のかくれんぼ,178-208(178),1454,CN・ソフラン,CHARGE,1438.15,1549.57
個人差D,個人差B,17,ワルツ第17番 ト短調”大犬のワルツ”,230-320(300),1684,ソフラン・縦連・階段,SOF-LAN,1365.30,1478.54
地力E,地力E,24,Apocalypse,165,1814,CN・階段,NOTES,1275.58,1374.27
地力E,地力E,25,Arca,185,1602,階段・縦連打,PEAK,1341.45,1433.67
地力E,地力D,26,Carry Me Away,175,1613,皿複合・乱打,NOTES,1240.13,1351.05
地力E,地力C,6,Colors (radio edit),150,1258,トリル・乱打・終盤発狂,PEAK,1306.20,1439.54
地力E,地力D,13,Concertino in Blue,103-155(140),1311,二重階段・皿複合・ソフラン,SOF-LAN,1304.71,1430.42
地力E,地力E,25,encounter,190,1679,皿絡み・階段・トリル,NOTES,1283.40,1389.57
地力E,地力E,19,F,154,1813,乱打・階段,NOTES,1334.36,1406.62
地力E,地力F,11,gigadelic(H),173,1116,トリル・ラス殺し,PEAK,1306.77,1365.05
