ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,CR基準
地力C,地力D,26,GIGA THRASH,150,1400,皿複合・ズレ,NOTES,地力E
地力C,地力D,27,GIGA VIOLATE,150,1392,終盤難・CN・連打,NOTES,地力D
地力C,地力C,24,GuNGNiR(H),222,1397,高速・階段,NOTES,地力C
地力C,地力B,22,Hello Happiness,182,1198,高速二重階段・皿複合・縦連,NOTES,地力C
地力C,地力C,21,HYENA,178,1434,トリル・階段,NOTES,地力C
地力C,地力C,25,I Love You,170,1381,乱打,NOTES,地力D
地力C,地力B,29,ILAYZA,160,1433,CN,NOTES,地力D
地力C,地力C,12,INAZUMA,148,1368,乱打・トリル・終盤難,NOTES,地力C
地力C,地力D,14,INORI,146,1614,螺旋・物量・ラス殺し,NOTES,地力C
地力C,地力C,21,Insane Techniques,146,1263,連皿・ラス殺し,PEAK,地力C
地力C,地力C,27,Into The Madness,155,1286,CN・BSS,PEAK,地力D
地力C,個人差A,18,Kailua,146,1125,CN・皿複合・トリル・HARD地雷,CHARGE,地力C
地力C,地力C,21,Lighting Shower,162,1220,乱打,NOTES,地力D
地力C,地力C,27,Like+it!,165,1197,皿絡み・乱打,NOTES,地力E
地力C,個人差C,24,Mare Nectaris(H),256,1116,高速階段・軸・ラス殺し,PEAK,地力A
地力C,地力C,13,MINT,150,1158,トリル・乱打・同時,NOTES,地力E
地力C,地力D,27,Nasty Techniques,150,1338,CN,PEAK,地力D
地力C,個人差B,16,naughty girl@Queen's Palace,145,1088,連皿・皿複合,SCRATCH,地力D
地力C,個人差B,6,NEMESIS,164,973,乱打・軸押し・中盤難,PEAK,地力A
地力C,未定,16,neogenesis(L),151,1180,乱打・同時,PEAK,未定
地力C,地力B,10,No.13,172,1607,前半難・乱打・対称・皿複合,NOTES,地力D
地力C,地力B,29,Nocturnal 2097,157,1479,CN,CHARGE,地力E
地力C,個人差A,21,Overload Frontier,175,1336,前半難・皿複合・HARD地雷,SCRATCH,地力B
地力C,地力C,27,Override,175,1471,中盤難・2重くの字配置,NOTES,地力E
地力C,個人差B,28,Para siempre,180,1461,CN,CHORD,地力C
地力C,地力B,29,Pout,170,1317,CN・同時押し,PEAK,地力E
地力C,地力D,16,Programmed World,153,1161,乱打,PEAK,地力E
地力C,地力C,19,prompt,198,1420,同時・階段,NOTES,地力D
地力C,地力B,27,Queen Kaguya,200,1330,CN,PEAK,地力D
地力C,地力D,8,rainbow flyer,148,1081,同時・階段・トリル・ラス殺し,PEAK,地力E
地力C,地力C,22,Scarlet Moon,180,1389,CN,NOTES,地力C
地力C,地力B,19,Scharfrichter,217,1472,CN・BSS,CHARGE,地力D
地力C,地力C,12,Scripted Connection⇒ H mix,151,1275,乱打・トリル・縦連,NOTES,地力B
地力C,地力E,14,Second Heaven,149,1069,同時押し・縦連・ラス殺し,PEAK,地力D
地力C,地力E,11,Secret of Love,162,1019,乱打・軸押し・ラス殺し,PEAK,地力C
地力C,地力C,30,Shadow World,180,1369,同時押し,CHORD,地力E
地力C,地力C,19,Snow Goose,200,1238,階段・乱打・高速,NOTES,地力D
地力C,地力D,27,Sparkle Smilin',180,1243,CN,NOTES,地力C
地力C,地力C,21,Squeeze,173,1257,乱打・皿複合,NOTES,地力E
地力C,地力C,23,STARLiGHT,199,1413,トリル・軸・連皿・皿複合,CHORD,地力B
地力C,地力A,15,STEEL NEEDLE,205,1269,トリル・乱打・同時押し・前半難・HARD地雷,PEAK,地力A
地力C,地力C,30,STRAIGHT TO THE STARS,158,1506,乱打・後半難・連打,NOTES,地力E
地力C,未定,30,Swing My Wonderland,170,1570,階段・皿同時,NOTES,地力E
地力C,地力C,20,Take My Life,175,1487,乱打,NOTES,地力D
地力C,個人差C,25,Temple of Anubis,155,1345,乱打・連皿,CHORD,地力D
地力C,地力C,21,THE DETONATOR,173,1636,皿複合・微縦連・トリル・前半難,CHORD,地力C
地力C,地力C,30,THE TIME MACHINE,155,1350,乱打・CN・BSS,NOTES,地力E
地力C,個人差S+,27,Theory,102-146(146),1342,ソフラン・連皿,SOF-LAN,地力A
地力C,地力A,14,TRANOID,130-190(130),1141,同時・階段・トリル・ソフラン・中盤発狂・HARD地雷,NOTES,地力S
地力C,地力C,18,Tropical April,182,1395,同時押し・ラス殺し,CHORD,地力C
地力C,地力C,13,TYPE MARS(G-Style Mix),159,1237,高速トリル・ラス殺し,NOTES,地力B
地力C,地力C,15,Ubertreffen,174,1280,階段・皿絡み・トリル,NOTES,地力C
地力C,地力C,27,UNITE THE HEART,185,1676,体力譜面・皿同時,NOTES,地力D
地力C,地力B,23,Violet Rose,152,1333,縦連・階段,NOTES,地力C
地力C,地力D,26,Wonderland,180,1393,終盤難,NOTES,地力E
地力C,地力D,8,xenon,158,1379,乱打・皿絡み,NOTES,地力E
地力C,個人差C,24,XINOBIKILL,164,1475,CN・階段,CHARGE,地力E
地力C,地力B,29,Xyndrome,195,1495,CN,CHORD,地力C
地力C,地力B,24,yamabiko (SINOBUZ Edition),154,1345,軸・階段,CHORD,地力D
地力C,地力C,24,Yellow Sketch(RX-Ver.S.P.L.),176,1479,階段・CN,NOTES,地力D
地力C,地力C,27,Ypsilon,160,1466,乱打,NOTES,地力D
地力C,地力C,26,Yum Yum Jelly,180,1204,CN,PEAK,地力D
地力C,地力D,20,ZED,190,1405,乱打・階段・高速,PEAK,地力C
地力C,地力C,23,ZEPHYRANTHES,180,1499,乱打,NOTES,地力C
地力C,地力C,15,2 tribe 4 K,140,1402,同時,CHORD,地力D
地力C,個人差B,27,27th style,150,1299,連皿,SCRATCH,地力E
地力C,地力C,26,50th Memorial Songs -The BEMANI History-,136,1348,階段・トリル・CN・ズレ,PEAK,地力B
地力C,地力D,25,命の標本,183,1358,階段・皿同時,PEAK,地力C
地力C,地力C,29,オールトの雲,215,1335,ズレCN・終盤難,PEAK,地力D
地力C,個人差B,22,鬼天,161,1265,CN,CHARGE,地力C
地力C,個人差A,20,カジノファイヤーことみちゃん,230,1271,BSS・CN＋連皿,SCRATCH,地力B
地力C,地力C,23,か・し・ま・し☆PUMP UP！,175,1453,皿複合,NOTES,地力C
地力C,地力B,30,≡+≡,182,1520,トリル・同時押し・軸,CHORD,地力C
地力C,個人差C,22,時空トラベローグ,234,1395,跳ねリズム・高速トリル,NOTES,地力D
地力C,未定,31,雫,95-210(141),1361,ソフラン・ズレ・ラス殺し,NOTES,未定
地力C,個人差C,24,忍恋花,189,1141,軸・トリル,NOTES,地力B
地力C,地力D,27,シャムシールの舞,100-155(100),1294,ソフラン,CHORD,地力D
地力C,地力E,23,セロトニン,150,1194,皿複合・階段・CN・縦連,PEAK,地力E
地力C,未定,17,たからもの(L),182,1786,同時押し・皿絡み,CHORD,未定
地力C,地力C,22,超青少年ノ為ノ超多幸ナ超古典的超舞曲,150,1350,階段・二重トリル,PEAK,地力D
地力C,地力B,23,追想快晴テーマパーク,170,1589,同時・トリル・微縦連,NOTES,地力A
地力C,地力C,16,天空脳番長危機十六連打,150,1323,乱打・皿複合,NOTES,地力C
地力C,地力A,22,ドッキン☆サマーあばんちゅーる,180,1447,連皿・トリル・HARD地雷,CHORD,地力B
地力C,地力C,28,涙のテ・エストラーニョ・ムーチョ,187,1422,CN,NOTES,地力D
地力C,地力C,21,バンブーソード・ガール,208,1261,高速・階段・皿絡み,NOTES,地力B
地力C,地力C,24,冬椿 ft. Kanae Asaba(L),155,1535,トリル・皿絡み,NOTES,地力C
地力C,地力D,27,曼荼羅恋々,198,1392,乱打,NOTES,地力E
地力C,地力C,28,無意識のフィロソフィア,160,1682,物量・乱打,NOTES,地力E
地力C,地力C,23,明鏡止水,208-290(290),1443,ズレ,CHORD,地力D
地力C,地力C,18,夕焼け ～Fading Day～,174,1420,乱打・皿複合,NOTES,地力D
地力C,未定,31,夢縁,162,1515,軸・階段,NOTES,未定
地力C,個人差B,12,ラクエン,99-198(99),1034,連皿・皿複合・ソフラン,SCRATCH,地力B
地力C,個人差B,31,惑星鉄道(H),10-166(157),1119,CN・ソフラン・ズレ・階段,SOF-LAN,未定
個人差C,個人差B,4,CHECKING YOU OUT,108-216(108),700,連皿・ソフラン,SCRATCH,地力A
個人差C,個人差B,28,Rejection Girl,174,1352,CN,CHARGE,地力E
個人差C,個人差A,29,Souhait bleu,225,1407,CN,CHARGE,地力C
個人差C,個人差B,30,With You,150,1296,連皿,SCRATCH,地力B
個人差C,個人差A,23,灼熱 Pt.2 Long Train Running(H),165,1093,連皿,SCRATCH,地力C
個人差C,地力C,11,ピアノ協奏曲第１番”蠍火”(H),165-188(185),1111,階段・縦連・皿・ソフラン・ラス殺し,SOF-LAN,地力A
地力D,個人差C,28,Ah Hah Yeah,115-230(115),1108,ソフラン,SOF-LAN,地力B
地力D,地力E,28,AMRITA -不滅ノ花-,152,1398,CN・2重トリル,NOTES,地力F
地力D,地力D,15,"Anisakis -somatic mutation type""Forza""-",185,1443,同時・階段・後半難,CHORD,地力D
地力D,地力C,28,apo:llioth,200,1498,連皿,CHORD,地力D
地力D,地力C,16,Arabian Rave Night,180,1504,乱打・体力,NOTES,地力E
地力D,地力C,25,Around the Future,162,1329,乱打・トリル・連皿,PEAK,地力C
地力D,地力D,12,Aurora,181,1280,同時・乱打・トリル,PEAK,地力D
地力D,地力D,24,Be A Star,174,1413,同時押し・乱打,CHORD,地力E
地力D,地力D,11,Be quiet,150,1114,同時・乱打,PEAK,地力D
地力D,地力D,24,Beyond The Seven,142,1375,乱打・ラス殺し(軸→デニム),CHORD,地力E
地力D,地力D,22,Blaze it UP!,175,1501,CN・乱打,CHORD,地力E
地力D,地力C,28,Burning Flame,165,1470,連皿・二重トリル,NOTES,地力E
地力D,未定,31,Chemical Colours,175,1416,CN・BSS・MSS・連皿,NOTES,未定
地力D,地力D,4,Clione(L),148,1102,HCN・乱打,CHARGE,地力E
地力D,未定,30,CODE -CRiMSON-,167,1516,MSS・微縦連,NOTES,地力D
地力D,地力C,20,CONCEPTUAL,198,1391,前半難,NOTES,地力D
地力D,地力C,28,Danza Aestas,150,1519,螺旋階段,NOTES,地力E
地力D,未定,31,DAZZLE ATTACK,175,1435,乱打,CHORD,未定
地力D,個人差C,15,Digitank System,128,1096,連皿・同時,SCRATCH,地力B
地力D,地力C,29,DISPARATE,200,1243,皿絡み・軸,NOTES,地力C
地力D,地力C,21,Elektrick U-Phoria,180,1566,乱打・二重階段,NOTES,地力D
地力D,地力D,21,Element of SPADA(L),170,1560,CN・物量,CHORD,地力E
地力D,地力C,26,Ember Lights,148,1369,乱打・CN,NOTES,地力E
地力D,地力D,29,Emera,161,1179,CN・皿複合・二重トリル,CHORD,地力E
地力D,地力D,25,Exhaust Hype,147,1426,皿複合,CHORD,地力F
地力D,地力A,11,GENOCIDE,175,1222,トリル・乱打・同時・皿複合・HARD地雷,NOTES,地力C
地力D,個人差B,30,Get On Your Feet,155,1384,CN・BSS・二重トリル,NOTES,地力D
地力D,地力D,28,GIGA RAID,150,1222,CN・BSS,CHARGE,地力E
地力D,地力D,14,GOLD RUSH,162,1199,同時・トリル・皿複合・ラス殺し,NOTES,地力C
地力D,地力C,26,HEISEI,152,1291,乱打・CN,CHORD,地力D
地力D,個人差B,22,HELL SCAPER -Last Escape Remix-,180,1458,階段・連皿・皿絡み・軸・終盤難,CHORD,地力B
地力D,地力D,16,HYPERION,150,1385,トリル,NOTES,地力D
地力D,地力C,23,Inner Spirit,146,1458,階段・皿複合・階段・HARD地雷,NOTES,地力D
地力D,地力C,24,INVISIBLE STRIX,184,1331,皿複合,PEAK,地力D
地力D,地力C,14,KAMAITACHI,165,1368,乱打・中盤発狂,NOTES,地力D
地力D,地力E,14,LASER CRUSTER(H),152,1250,階段・乱打,NOTES,地力C
地力D,地力C,29,Lawes's Parotia,140,1294,二重階段,NOTES,地力F
地力D,地力D,12,Little Little Princess,180-212(212),1420,同時・螺旋・階段・高速,NOTES,地力D
地力D,地力E,27,Lost Souls,185,1236,乱打,NOTES,地力E
地力D,地力E,24,Lost wing at.0,185,1261,CN・皿絡み・終盤難,NOTES,地力E
地力D,地力E,10,Lucy,156,1167,微連打・階段・ラス殺し,CHORD,地力D
地力D,個人差S,15,MENTAL MELTDOWN,145,1443,デニム・皿複合・白壁・中盤発狂・HARD地雷,PEAK,地力S
地力D,地力D,25,No Limit 2 dAnce feat. 大山愛未,155,1182,乱打・逆詐称,NOTES,地力E
地力D,地力E,22,No Tears,170,1286,局所難,CHORD,地力E
地力D,地力C,29,Onyx,44-174(174),1214,CN・急減速,SOF-LAN,地力E
地力D,個人差A,30,OVER VOLTAGE,160,1332,連皿・HCN・HBSS,SCRATCH,地力E
地力D,個人差C,18,PARADISE LOST(H),200,1217,CN・ズレ・リズム難・詐称曲,PEAK,地力S
地力D,個人差B,15,PARANOiA ～HADES～(H),75-300(300),954,ソフラン,SOF-LAN,地力S
地力D,地力D,9,quasar,155,1161,乱打・中盤難,PEAK,地力E
地力D,地力D,19,Quick Silver,172,1353,CN・BSS・皿複合・同時,NOTES,地力E
地力D,地力C,21,rainbow guitar weeps,156,1406,前半難・階段,PEAK,地力D
地力D,地力D,22,Realize Maze,149,1503,乱打・縦連打,CHORD,地力E
地力D,地力D,11,RESONATE 1794,160,951,二重階段・ラス殺し,PEAK,地力C
地力D,地力D,15,Rising in the Sun(original mix),172,1202,HCN,PEAK,地力D
地力D,地力D,23,Rock It,170,1500,トリル・皿複合,NOTES,地力D
地力D,地力E,26,R∞tAge,150,1503,乱打,CHORD,地力E
地力D,地力C,30,Ruler or Loser,174,1339,CN・BSS・トリル・軸,NOTES,地力E
地力D,地力C,27,S!ck (Nhato Remix),174,1279,CN・BSS,CHARGE,地力E
地力D,地力E,18,Sakura Reflection,181,1190,CN・逆詐称,CHARGE,地力E
地力D,地力D,15,"satellite020712 from ""CODED ARMS""",154,1293,乱打,NOTES,地力E
地力D,地力C,24,SEQUENCE CAT,145,1446,乱打・同時・中盤階段発狂,NOTES,地力E
地力D,個人差A,28,Sinus Iridum(H),128-256(128),1101,CN・ソフラン,CHARGE,地力A
地力D,地力E,29,SOLID WYVERN,165,1333,トリル・ハネリズム,NOTES,地力E
地力D,地力D,10,SPACE FIGHT,139,1134,同時押し・乱打,CHORD,地力E
地力D,地力E,11,spiral galaxy,154,1310,トリル・乱打・ラス殺し,NOTES,地力C
地力D,地力D,15,State Of The Art,155,1570,乱打・終盤難,NOTES,地力D
地力D,地力D,17,THE LAST STRIKER,185,1327,乱打・トリル,PEAK,地力C
地力D,地力D,14,the shadow,156,1480,乱打・トリル・終盤難,NOTES,地力D
地力D,個人差C,23,Uh-Oh,175,1228,連皿・難地雷,SCRATCH,地力C
地力D,地力D,26,Urban Constellations,167,1167,前半乱打・後半CN,CHARGE,地力E
地力D,地力D,27,VALKYRIAS -英雄誕生-,184,1386,終盤難,CHORD,地力E
地力D,地力C,14,VANESSA(H),185,938,二重階段・微縦連,PEAK,地力A
地力D,地力D,29,Victory Of Ravers,178,1301,CN・皿絡み,CHORD,地力E
地力D,地力D,27,Volcanic Dragon,175,1495,BSS・皿絡み,CHORD,地力E
地力D,地力D,22,Vulkan,205,1518,同時,NOTES,地力E
地力D,地力D,21,Wonder Girl feat. Kanae Asaba,160,1414,乱打・ラス殺し,NOTES,地力E
地力D,地力D,28,X-ray binary,150,1417,乱打,NOTES,地力E
地力D,地力C,12,Xepher,170,1520,階段・Ｘ地帯,NOTES,地力C
地力D,地力D,26,ZENDEGI DANCE,160,1393,乱打,NOTES,地力E
地力D,地力D,20,405nm (Ryu☆mix),177,1301,軸・トリル,NOTES,地力D
地力D,地力E,25,うさ☆かめ 大戦争！,210,1276,皿絡み・階段,NOTES,地力E
地力D,地力D,23,麗 ～うらら～,155,1329,軸・階段・皿絡み,NOTES,地力E
地力D,地力C,20,朧(L),149,1280,皿絡み・同時,CHORD,地力E
地力D,地力E,20,仮想空間の旅人たち,151,1450,乱打・全押し,NOTES,地力E
地力D,地力C,13,華蝶風雪,199,1500,同時・軸・階段・乱打・ラス殺し(ただし乱で解決),NOTES,地力D
地力D,地力D,12,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),155,972,乱打・同時・ラス殺し,PEAK,地力E
地力D,地力C,24,鴉,190,1356,同時・皿絡み,CHORD,地力D
地力D,地力D,19,君のハートにロックオン,260,1363,階段,NOTES,地力D
地力D,地力D,27,狂水一華,160,1370,乱打・CN,NOTES,地力E
地力D,地力E,22,恋は白帯、サンシロー(L),175,1395,同時,CHORD,地力E
地力D,地力D,22,#The_Relentless,170,1479,CN・BSS・二重階段,NOTES,地力E
地力D,個人差D,22,打打打打打打打打打打,156,1342,BSS・縦連,NOTES,地力C
地力D,地力D,30,ちょえちょえまぎか,180,1529,物量・乱打,NOTES,地力F
地力D,地力E,27,眠りの国のステラ,193,1393,CN,NOTES,地力D
地力D,未定,30,パーフェクトイーター,175,1531,CN・皿絡み,NOTES,地力E
地力D,地力B,26,爆ゼニ☆がってんワーカー,195,1391,前半難,NOTES,地力B
地力D,地力D,27,バッドエンド・シンドローム,126,1497,同時押し,CHORD,地力E
地力D,地力D,25,パラドキシカル・タイムリープトライアル(Short Ver.),188,1416,開幕殺し,NOTES,地力E
地力D,個人差C,27,開きたまえ！Next stAge！,200,1463,連皿,NOTES,地力C
地力D,地力C,30,マツケンサンバII,149,1460,デニム,CHORD,地力D
地力D,地力E,16,ミッドナイト堕天使,150,1398,トリル・同時・皿絡み,NOTES,地力E
地力D,地力E,29,ミュージック・アワー,165,1516,同時押し・BSS,CHORD,地力D
地力D,地力D,26,龍王の霊廟(Mausoleum Of The Primal Dragon),144,1614,乱打・CN,NOTES,地力D
地力D,地力D,16,凛として咲く花の如く(L),163,1595,階段・同時・トリル,CHORD,地力E
個人差D,個人差A,25,FUTURE is Dead,110-220(110),1151,ソフラン・ハネリズム,SOF-LAN,地力A
個人差D,地力E,8,Halfway of promise,140,940,連皿・皿絡み・ラス殺し,SCRATCH,地力D
個人差D,個人差D,11,Wonder Bullfighter,126,1062,皿・皿絡み・同時・後半難,SCRATCH,地力D
個人差D,地力D,30,あるビー！ feat.ころねぽち,236,1457,CN・BSS,NOTES,地力E
地力E,未定,31,Amethyst,155,1322,階段,PEAK,未定
地力E,個人差C,30,Beyond Evolution(H),185,1332,HCN・階段・軸,PEAK,地力B
地力E,地力F,14,Blind Justice ～Torn souls・ Hurt Faiths ～,137-165(165),1245,同時押し・乱打・終盤難,PEAK,地力E
地力E,地力E,18,BROKEN EDEN,162,1182,縦連・ラス殺し,NOTES,地力E
地力E,地力E,22,COLOSSEUM,140,1159,同時・逆詐称,CHORD,地力F
地力E,地力E,22,Cosmic Cat,160,1166,階段,PEAK,地力E
地力E,地力D,23,Daily Lunch Special,205,1494,CN・軸・同時押し,CHARGE,地力E
地力E,地力E,17,DAWN -THE NEXT ENDEAVOUR-,183,1577,物量・同時押し,CHORD,地力E
地力E,地力D,13,DEEP ROAR,165,1387,トリル,CHORD,未定
地力E,地力E,17,Empire State Glory,173,1329,乱打・階段・皿複合,NOTES,地力E
地力E,地力D,21,Engraved Mark,188,1222,トリル・皿複合・対称,NOTES,地力C
地力E,地力D,21,EXTREME MACH COLLIDER,148,1305,BSS・皿複合,NOTES,地力E
地力E,地力E,28,Farewell to Marrakech,144,1162,ズレ・トリル,PEAK,地力F
地力E,超個人差,14,Fascination MAXX(H),100-400(100),876,軸押し・同時押し・縦連・同色階段・ソフラン,SOF-LAN,地力A
地力E,地力D,28,Globe Glitter,190,1369,トリル・乱打,NOTES,地力E
地力E,地力D,29,Hat Surprise,180,1234,乱打,NOTES,地力F
地力E,未定,31,Hat Surprise (Season 3),180,1384,皿絡み・同時押し,NOTES,未定
地力E,地力D,24,Honey Trap,160,1284,皿複合・連皿,NOTES,地力E
地力E,地力D,21,KHAMEN BREAK,180,1281,BSS・階段・皿複合,NOTES,地力D
地力E,地力E,30,KING,166,1553,同時押し・皿絡み,CHORD,地力F
地力E,地力E,28,LIKE A VAMPIRE,276,1415,二重トリル・同色階段,CHORD,地力F
地力E,地力D,28,MA・TSU・RI,160,1302,BSS,NOTES,地力E
地力E,地力C,15,MENDES(H),168,1353,階段・同時・皿複合・序盤難,NOTES,地力A
地力E,地力E,8,murmur twins,174,1207,階段・乱打,NOTES,地力C
地力E,地力D,25,n'pa pa BBQ,300,1408,乱打・軸・ラスト要注意(縦連),NOTES,地力E
地力E,地力C,22,Night sky,192,1491,CN・軸,PEAK,地力D
地力E,地力D,25,Nothing but Theory,160,1438,乱打,NOTES,地力F
地力E,地力D,24,PAPAYAPA BASS,147,1428,皿絡み,NOTES,地力E
地力E,地力D,21,Pharaoh,180,1242,二重階段,PEAK,地力E
地力E,地力E,30,Programmed Genom,150,1214,乱打,NOTES,地力E
地力E,地力D,19,QUANTUM TELEPORTATION,152,1490,乱打・終盤難,NOTES,地力E
地力E,個人差D,3,R5,180,889,交互連打・同時・軸押し・終盤難,PEAK,地力E
地力E,地力D,11,RED ZONE,165,1184,乱打・階段・皿絡み,NOTES,地力D
地力E,地力D,18,reunion(H),184,1239,Ｘ地帯・階段・高速トリル・皿複合,PEAK,地力B
地力E,地力E,28,Romanticが止まらない,162,1367,乱打・皿同時押し,CHORD,地力F
地力E,地力D,24,ROTTERDAM SHOGUN,199,1299,CN・同時押し・皿絡み,NOTES,地力E
地力E,地力C,22,Sakura Mirage,187,1190,CN・BSS,PEAK,地力D
地力E,地力E,23,SHELTER OF THE MIND,185,1538,同時押し,NOTES,地力E
地力E,未定,30,Somnidiscotheque(H),115,1053,CN・トリル,PEAK,地力B
地力E,地力C,15,SOUND OF GIALLARHORN,184,1668,同時押し・小階段・中盤難,CHORD,地力D
地力E,地力D,27,STOIC HYPOTHESIS,170,1442,乱打,NOTES,地力E
地力E,地力D,20,Synergy For Angels,160,1400,乱打,NOTES,地力E
地力E,地力D,24,(This Is Not) The Angels,33-130(130),1364,疑似停止・皿絡み・二重階段,SOF-LAN,地力E
地力E,地力D,21,Valgus,175,1206,縦連,CHORD,地力E
地力E,地力F,29,Ventriloquist,170,1232,皿複合・ズレ,CHORD,地力F
地力E,地力C,21,ATHER,192,1440,皿複合,NOTES,地力C
地力E,地力D,26,おーまい！らぶりー！すうぃーてぃ！だーりん！,170,1480,高速トリル,NOTES,地力D
地力E,地力E,27,ガヴリールドロップキック,88-170(168),1362,ソフラン,SOF-LAN,地力E
地力E,地力D,29,グッバイ宣言,170,1557,同時押し・二重階段,CHORD,地力E
地力E,地力F,30,少年リップルズ,210,1242,CN・ラス殺し,CHORD,地力E
地力E,地力D,21,IX(H),198,1247,階段・CN,NOTES,地力B
地力E,地力E,26,ハードベース・フェスタ,158,1447,乱打,NOTES,地力E
地力E,地力D,25,バ→ビ→ブ→Bomb!,175,1294,トリル・軸・開幕BSS,NOTES,地力E
地力E,地力D,22,パ→ピ→プ→Yeah!,160,1280,CN・同時・逆詐称,NOTES,地力D
地力E,地力D,22,ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,175,1285,階段,NOTES,地力E
地力E,地力E,31,勇者,210,1245,要体力,NOTES,未定
地力E,未定,31,ラビットホール,173,1471,トリル,CHORD,未定
地力E,地力D,27,ランカーキラーガール,200,1479,同時押し・CN,NOTES,地力E
地力E,個人差D,30,輪廻の鴉,198,1398,乱打,NOTES,地力E
個人差E,個人差D,11,Click Again,137,1097,軸・縦連,CHORD,地力B
個人差E,個人差D,17,Elisha,185,1152,CN・BSS,CHARGE,地力E
個人差E,個人差D,9,RISLIM -Remix-,132,959,縦連・ラス殺し,PEAK,地力D
個人差E,個人差B,30,《ORDERBREAKER》,166,1257,CN・BSS・二重階段・三重階段,CHARGE,地力B
個人差E,個人差D,26,泰東ノ翠霞,180,914,トリル,PEAK,地力D
地力F,地力E,22,AFRO KNUCKLE,145,1226,皿＋同時連打・ラス殺し,PEAK,地力E
地力F,地力E,25,Amor De Verao,138,1193,乱打・皿絡み・縦連打,NOTES,地力F
地力F,地力E,18,Believe In Me,170,1213,皿複合,NOTES,地力F
地力F,地力D,12,CaptivAte～浄化～,160,1243,隣接同時・前半難,CHORD,地力E
地力F,地力F,27,Change Yourself,155,1288,乱打・CN・BSS,NOTES,地力E
地力F,地力E,24,crew,155,1480,乱打,NOTES,地力F
地力F,地力E,24,Cyber True Color,150,1207,終盤難,PEAK,地力D
地力F,地力F,13,D.C.fish,155,1178,トリル・同時押し・乱打・ラス殺し,PEAK,地力E
地力F,地力F,18,Destiny Sword,155,1213,階段・トリル,NOTES,地力E
地力F,地力F,22,Erosion Mark,192,1096,軸,NOTES,地力F
地力F,未定,31,Get Higher,170,1171,CN・軸・終盤難,PEAK,未定
地力F,地力D,13,Harmony and Lovely,135,1127,交互軸・乱打・中盤難,PEAK,地力E
地力F,地力E,11,KEY,212,1436,物量・同時押し,NOTES,地力E
地力F,地力D,22,Line 4 Ruin,141,1402,乱打,NOTES,地力F
地力F,地力E,6,Linus,160-176(176),1105,同時・階段・トリル・ラス殺し,SOF-LAN,地力E
地力F,地力F,10,Love Is Eternity,140,1215,乱打・階段・ラス殺し,NOTES,地力E
地力F,地力F,16,Marie Antoinette,205-248(215),1312,階段・ソフラン,CHORD,地力C
地力F,地力E,17,MIRACLE MEETS,160,1128,CN・BSS・逆詐称,CHARGE,地力E
地力F,地力E,17,NEW SENSATION -もう、あなたしか見えない-,200,1357,CN・小階段・逆詐称,NOTES,地力E
地力F,地力E,22,PENDUAL TALISMAN,150-160(160),1314,BSS・微ソフラン,CHORD,地力E
地力F,地力F,32,PopなEDEN,305,1235,同時押し・階段,CHORD,未定
地力F,未定,31,Psychedelic Intelligence,150,1448,乱打,NOTES,未定
地力F,地力E,17,Raison d'etre～交差する宿命～,155-175(155),1389,ソフラン・階段・皿絡み,NOTES,地力C
地力F,地力E,21,refractive index,154,1360,逆詐称,NOTES,地力F
地力F,地力F,18,Rock Da House,175,1128,皿複合・逆詐称,NOTES,地力F
地力F,地力E,30,Seraph,216,1227,CN・同時押し,PEAK,地力F
地力F,地力E,27,Shiva,150,1085,BSS,NOTES,地力F
地力F,地力F,6,Take It Easy,205,1282,縦連・トリル・ラス殺し,CHORD,地力D
地力F,地力F,28,Tell me what you wish feat.らっぷびと,203,1436,トリル,NOTES,地力F
地力F,地力D,13,嘆きの樹(H),160,1281,トリル・終盤難,PEAK,地力A
地力F,未定,31,フォニイ,170,1454,同時押し・トリル,NOTES,未定
地力F,地力F,21,牧神笛吹きて,157,1044,階段,PEAK,地力D
地力F,地力F,26,ミッドナイト☆WAR,156,1261,CN・同時押し・二重トリル,NOTES,地力F
地力F,未定,32,メズマライザー,185,1375,CN・軸・トリル,NOTES,未定
